# Sensor type: Thingy
# Activity type: Normal walking
# Activity subtype: Normal
# Subject id: s2063346
# Notes: thingy 1.31
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695752562743,-0.8671875,-0.27246094,0.034179688,21.34375,7.9375,39.59375,0.0,0.0,0.0
1695752562771,-0.9511719,-0.39453125,0.0625,37.9375,8.1875,45.40625,0.0,0.0,0.0
1695752562832,-1.0,-0.5205078,0.1015625,-32.0625,-9.5,17.6875,0.0,0.0,0.0
1695752562863,-1.0136719,-0.70214844,0.15625,5.78125,34.625,9.6875,0.0,0.0,0.0
1695752562897,-0.7988281,-0.26367188,0.0068359375,66.9375,15.40625,-1.46875,0.0,0.0,0.0
1695752562951,-1.0224609,0.068359375,-0.037109375,59.71875,35.125,39.21875,0.0,0.0,0.0
1695752562983,-1.9863281,-0.11816406,0.5878906,3.46875,24.75,38.9375,0.0,0.0,0.0
1695752563016,-1.0654297,0.05859375,-0.36132812,96.28125,-9.4375,9.03125,0.0,0.0,0.0
1695752563073,-0.265625,0.45996094,0.22167969,-44.65625,38.59375,29.65625,-29.25,7.5625,-35.9375
1695752563103,-1.0,0.40234375,-0.076171875,6.5,16.75,48.28125,0.0,0.0,0.0
1695752563131,-1.203125,-0.20800781,-0.22265625,41.0,29.6875,62.1875,0.0,0.0,0.0
1695752563192,-0.8466797,-0.26757812,-0.038085938,-41.34375,-2.84375,30.375,0.0,0.0,0.0
1695752563222,-1.0214844,0.12207031,-0.24414062,60.40625,10.15625,21.46875,0.0,0.0,0.0
1695752563256,-1.0625,0.14941406,-0.18945312,37.4375,28.75,26.96875,0.0,0.0,0.0
1695752563312,-1.0429688,0.123046875,0.059570312,-59.40625,24.75,17.4375,0.0,0.0,0.0
1695752563374,-0.9501953,-0.056640625,-0.16015625,-21.4375,12.96875,10.71875,0.0,0.0,0.0
1695752563386,-0.90722656,0.03125,-0.18457031,-28.28125,9.84375,0.53125,0.0,0.0,0.0
1695752563432,-0.95410156,0.08105469,-0.10546875,-34.6875,15.40625,5.65625,0.0,0.0,0.0
1695752563461,-0.97558594,0.09667969,-0.10253906,-1.5625,11.78125,19.09375,0.0,0.0,0.0
1695752563491,-0.9580078,0.11621094,-0.15332031,-5.8125,17.90625,24.46875,0.0,0.0,0.0
1695752563551,-1.0019531,0.10058594,-0.12792969,-14.5625,20.59375,28.78125,0.0,0.0,0.0
1695752563613,-0.9658203,0.06347656,-0.08496094,-15.65625,18.625,28.84375,-28.625,18.1875,-43.125
1695752563615,-0.9482422,0.040039062,-0.12792969,-16.4375,15.09375,27.9375,0.0,0.0,0.0
1695752563671,-0.99316406,0.021484375,-0.15820312,-20.59375,13.125,22.5625,0.0,0.0,0.0
1695752563701,-0.953125,0.016601562,-0.20996094,-23.34375,8.9375,16.09375,0.0,0.0,0.0
1695752563731,-0.97265625,0.109375,-0.111328125,-42.625,17.0,8.53125,0.0,0.0,0.0
1695752563792,-1.0117188,0.01171875,-0.12988281,-36.03125,10.15625,15.1875,0.0,0.0,0.0
1695752563822,-1.0664062,-0.08105469,-0.18261719,-27.75,7.21875,3.59375,0.0,0.0,0.0
1695752563852,-1.3222656,-0.10253906,-0.16796875,-1.0,-4.25,-22.84375,0.0,0.0,0.0
1695752563912,-1.40625,-0.12011719,-0.033203125,19.4375,-23.1875,-45.84375,0.0,0.0,0.0
1695752563942,-1.0322266,0.044921875,0.2265625,1.6875,-81.59375,-78.125,0.0,0.0,0.0
1695752563972,-0.8076172,0.3720703,0.08691406,-34.5625,-102.46875,-101.875,0.0,0.0,0.0
1695752564032,-0.94140625,0.2607422,-0.057617188,-42.6875,-61.375,-79.65625,0.0,0.0,0.0
1695752564061,-1.2197266,0.109375,-0.16992188,-38.0,-72.125,-83.375,-32.375,15.1875,-40.25
1695752564091,-1.2050781,0.07519531,-0.0546875,-87.78125,-28.78125,-76.25,0.0,0.0,0.0
1695752564152,-0.9921875,-0.11035156,-0.07421875,-59.78125,-17.25,-74.59375,0.0,0.0,0.0
1695752564182,-0.9501953,-0.171875,0.0029296875,2.0625,-8.28125,-75.34375,0.0,0.0,0.0
1695752564212,-0.90722656,-0.16894531,0.03125,32.9375,0.6875,-66.40625,0.0,0.0,0.0
1695752564272,-0.77246094,9.765625E-4,0.02734375,79.6875,-6.75,-52.375,0.0,0.0,0.0
1695752564302,-0.7285156,0.111328125,0.14941406,35.875,5.21875,-30.78125,0.0,0.0,0.0
1695752564333,-0.8359375,-0.061523438,0.13671875,10.0,12.53125,2.5,0.0,0.0,0.0
1695752564422,-0.8457031,-0.15234375,0.13867188,12.1875,7.15625,17.9375,0.0,0.0,0.0
1695752564425,-0.7480469,-0.19628906,0.13769531,102.6875,-80.5625,25.0625,0.0,0.0,0.0
1695752564452,-0.8378906,-0.39941406,0.12695312,-20.28125,6.25,41.25,0.0,0.0,0.0
1695752564573,-1.0849609,-0.7167969,0.21191406,9.5,24.6875,61.8125,0.0,0.0,0.0
1695752564576,-1.0849609,-0.7470703,0.14453125,7.53125,22.71875,7.125,0.0,0.0,0.0
1695752564581,-0.7578125,-0.35253906,0.0068359375,-9.78125,16.25,-10.5,-32.375,6.1875,-36.0625
1695752564662,-0.953125,0.12890625,0.06933594,91.78125,69.90625,47.46875,0.0,0.0,0.0
1695752564665,-1.9863281,0.04296875,0.94921875,11.8125,11.375,56.3125,0.0,0.0,0.0
1695752564692,-1.4931641,-0.044921875,-0.52441406,123.21875,-9.875,14.875,0.0,0.0,0.0
1695752564782,-0.29882812,0.22363281,-0.15625,-26.9375,51.84375,21.21875,0.0,0.0,0.0
1695752564784,-0.7548828,0.45507812,0.0,-98.78125,28.09375,18.65625,0.0,0.0,0.0
1695752564842,-1.2070312,-0.045898438,-0.32128906,122.71875,24.84375,58.8125,0.0,0.0,0.0
1695752564872,-0.9355469,-0.27441406,-0.12011719,5.15625,27.46875,42.59375,0.0,0.0,0.0
1695752564903,-0.9736328,0.15429688,-0.09082031,-25.53125,23.5,13.28125,0.0,0.0,0.0
1695752564932,-1.0595703,0.171875,-0.10058594,20.125,24.8125,25.8125,0.0,0.0,0.0
1695752564993,-1.0322266,0.01171875,-0.06640625,-47.5,20.40625,22.6875,0.0,0.0,0.0
1695752565023,-0.9003906,-0.06933594,-0.12402344,-31.8125,15.21875,11.03125,0.0,0.0,0.0
1695752565052,-0.9794922,-0.024414062,-0.15332031,-11.375,11.25,10.96875,-31.625,14.0,-43.25
1695752565112,-0.984375,0.07910156,-0.11328125,-7.21875,15.59375,13.59375,0.0,0.0,0.0
1695752565143,-0.9580078,0.16113281,-0.0859375,-0.34375,15.59375,23.0,0.0,0.0,0.0
1695752565172,-1.0087891,0.10546875,-0.13378906,-10.78125,18.03125,27.46875,0.0,0.0,0.0
1695752565233,-0.9892578,0.051757812,-0.12109375,-19.0,19.4375,29.09375,0.0,0.0,0.0
1695752565262,-0.99902344,-0.017578125,-0.12695312,-20.34375,16.875,26.21875,0.0,0.0,0.0
1695752565292,-1.0078125,-0.05078125,-0.15039062,-21.9375,15.21875,20.625,0.0,0.0,0.0
1695752565353,-0.97265625,-0.048828125,-0.19433594,-19.3125,6.1875,16.40625,0.0,0.0,0.0
1695752565382,-0.99316406,0.015625,-0.15722656,-22.375,6.5,11.28125,0.0,0.0,0.0
1695752565412,-1.0087891,0.053710938,-0.12695312,-22.90625,8.25,17.125,0.0,0.0,0.0
1695752565472,-0.97558594,-0.059570312,-0.20898438,-17.84375,2.6875,16.03125,0.0,0.0,0.0
1695752565502,-1.0888672,0.005859375,-0.1484375,-13.28125,1.46875,-5.875,0.0,0.0,0.0
1695752565533,-1.4423828,-0.028320312,-0.12402344,18.28125,-10.125,-29.5,0.0,0.0,0.0
1695752565593,-1.2431641,0.01171875,0.083984375,10.34375,-38.125,-43.65625,-29.6875,20.3125,-47.3125
1695752565653,-0.96875,0.01953125,0.15429688,-12.40625,-80.65625,-81.625,0.0,0.0,0.0
1695752565656,-0.8574219,0.2919922,0.1171875,-57.875,-91.96875,-114.34375,0.0,0.0,0.0
1695752565713,-1.0039062,0.30664062,0.017578125,-32.1875,-64.9375,-81.125,0.0,0.0,0.0
1695752565743,-1.2138672,0.12597656,-0.14355469,-39.9375,-60.40625,-76.78125,0.0,0.0,0.0
