# Sensor type: Respeck
# Activity type: Lying down on stomach
# Activity subtype: Coughing
# Subject id: s2063346
# Notes: 2.6
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695748785782,0.18725586,-0.05621338,-0.94537354,-0.75,0.671875,-0.640625
1695748785821,0.19018555,-0.059387207,-0.93927,-0.296875,0.78125,-0.5625
1695748785853,0.18554688,-0.057434082,-0.9414673,-0.515625,0.875,-0.609375
1695748785902,0.18066406,-0.06085205,-0.93170166,-0.4375,1.09375,-0.6875
1695748785948,0.18945312,-0.054016113,-0.9434204,-0.53125,1.4375,-0.546875
1695748785992,0.18408203,-0.058166504,-0.9373169,-0.3125,1.546875,-0.46875
1695748786006,0.18945312,-0.062316895,-0.9312134,-0.15625,1.609375,-0.59375
1695748786051,0.19433594,-0.05645752,-0.9417114,1.109375,1.265625,-0.5
1695748786081,0.18359375,-0.051330566,-0.95196533,1.890625,-5.3125,-0.1875
1695748786126,0.21289062,-0.04888916,-1.0181274,-2.921875,-34.078125,0.234375
1695748786171,0.3178711,-0.04840088,-0.9212036,-2.96875,-56.234375,-3.765625
1695748786216,0.33935547,-0.07965088,-0.7637329,-2.34375,-33.1875,-4.921875
1695748786246,0.35058594,-0.08087158,-0.73565674,-2.84375,3.328125,-1.546875
1695748786292,0.33935547,-0.07281494,-0.8623657,-0.046875,26.34375,-1.0
1695748786324,0.3251953,-0.069885254,-0.93585205,1.859375,19.546875,-0.171875
1695748786381,0.3178711,-0.06842041,-0.9963989,0.21875,2.78125,-0.4375
1695748786442,0.33203125,-0.07354736,-0.9746704,-0.234375,-23.9375,-1.53125
1695748786445,0.34326172,-0.07623291,-0.8069458,0.3125,-17.015625,-2.734375
1695748786488,0.35717773,-0.07476807,-0.7756958,0.03125,8.3125,-1.765625
1695748786516,0.32763672,-0.07867432,-0.8484497,-0.125,31.875,-1.140625
1695748786562,0.29956055,-0.07232666,-0.9536743,6.1875,25.1875,-0.015625
1695748786607,0.28955078,-0.058166504,-0.9776001,5.5,14.71875,-0.171875
1695748786666,0.2668457,-0.06329346,-0.94781494,-0.359375,7.234375,-0.875
1695748786682,0.2553711,-0.062072754,-0.9170532,-2.09375,4.609375,-1.09375
1695748786758,0.25878906,-0.061340332,-0.9175415,-0.703125,5.1875,-0.875
1695748786761,0.2524414,-0.065979004,-0.90997314,-0.03125,4.796875,-0.65625
1695748786801,0.24121094,-0.06744385,-0.93048096,-0.171875,4.828125,-0.828125
1695748786849,0.2487793,-0.061584473,-0.9417114,-1.359375,2.34375,-0.765625
1695748786877,0.24682617,-0.06793213,-0.9651489,-0.109375,-3.515625,-0.5625
1695748786922,0.26220703,-0.058898926,-0.95269775,-0.421875,-9.59375,-0.46875
1695748786967,0.27441406,-0.06524658,-0.9536743,-1.40625,-24.96875,-0.15625
1695748786997,0.32714844,-0.06378174,-0.9458618,-2.34375,-31.921875,-0.453125
1695748787042,0.35009766,-0.08062744,-0.829895,-2.703125,-19.9375,-1.75
1695748787086,0.37182617,-0.078186035,-0.78204346,-1.828125,0.078125,-0.9375
1695748787147,0.35327148,-0.0881958,-0.8428345,0.3125,17.734375,-0.5625
1695748787162,0.3413086,-0.07891846,-0.9019165,2.96875,18.390625,-0.390625
1695748787207,0.32421875,-0.070373535,-0.94537354,2.03125,9.15625,-0.515625
1695748787267,0.32299805,-0.073791504,-0.9373169,-0.25,0.03125,-0.671875
1695748787297,0.3310547,-0.07550049,-0.9307251,-1.140625,-7.859375,-1.125
1695748787313,0.35083008,-0.077697754,-0.87091064,-0.484375,-16.390625,-1.515625
1695748787360,0.3581543,-0.08282471,-0.8374634,-0.515625,-6.734375,-1.53125
1695748787409,0.3564453,-0.06890869,-0.8206177,0.640625,11.4375,-0.59375
1695748787448,0.3293457,-0.078430176,-0.8948364,2.140625,22.6875,-0.25
1695748787477,0.31713867,-0.06964111,-0.9221802,5.25,18.8125,0.171875
1695748787538,0.30322266,-0.06329346,-0.93927,3.8125,13.234375,-0.25
1695748787552,0.2854004,-0.062316895,-0.9578247,1.34375,9.140625,-0.5
1695748787597,0.27807617,-0.05279541,-0.9143677,0.859375,3.96875,-0.453125
1695748787658,0.27075195,-0.054992676,-0.91607666,1.375,4.40625,-0.375
1695748787672,0.27416992,-0.050842285,-0.9067993,0.140625,5.15625,-0.671875
1695748787736,0.2697754,-0.06085205,-0.9204712,-1.328125,6.84375,-0.796875
1695748787763,0.26220703,-0.058898926,-0.93707275,-2.140625,3.265625,-1.015625
1695748787793,0.26708984,-0.055480957,-0.9265747,-1.796875,-1.09375,-0.703125
1695748787853,0.2614746,-0.06060791,-0.9260864,-0.625,-4.75,-0.46875
1695748787886,0.2770996,-0.061340332,-0.94195557,-1.46875,-7.9375,-0.625
1695748787914,0.2944336,-0.057922363,-0.942688,-0.765625,-17.828125,-0.15625
1695748787973,0.33813477,-0.06329346,-0.9175415,-2.453125,-27.265625,-0.53125
1695748787991,0.34765625,-0.073791504,-0.835022,-1.53125,-20.0,-1.625
1695748788038,0.37548828,-0.070373535,-0.7966919,-2.859375,-1.1875,-1.203125
1695748788078,0.36328125,-0.074035645,-0.8599243,0.09375,13.84375,-0.59375
1695748788107,0.34887695,-0.07647705,-0.89190674,1.9375,13.5,-0.296875
1695748788152,0.3449707,-0.07232666,-0.93218994,1.140625,7.109375,-0.578125
1695748788197,0.3388672,-0.06964111,-0.923645,-0.828125,-0.234375,-0.765625
1695748788258,0.3486328,-0.07232666,-0.88897705,-2.765625,-8.609375,-1.21875
1695748788274,0.37060547,-0.07330322,-0.84942627,-0.65625,-13.828125,-0.90625
1695748788333,0.36108398,-0.082092285,-0.80914307,0.078125,-3.859375,-1.421875
1695748788367,0.36279297,-0.0803833,-0.81451416,1.65625,15.5,-0.453125
1695748788408,0.34326172,-0.07476807,-0.8909302,3.109375,24.5625,-0.171875
