# Sensor type: Respeck
# Activity type: Lying down back
# Activity subtype: Coughing
# Subject id: s2063346
# Notes: 2.3
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695748474234,-0.5161133,-0.08795166,0.9122925,1.140625,1.78125,-0.625
1695748474269,-0.5180664,-0.08721924,0.89715576,0.21875,2.1875,-0.859375
1695748474310,-0.5175781,-0.08331299,0.91082764,0.453125,2.28125,-0.5625
1695748474356,-0.515625,-0.09088135,0.914978,0.296875,2.21875,-0.796875
1695748474382,-0.5126953,-0.08795166,0.90911865,-0.21875,2.296875,-0.828125
1695748474428,-0.515625,-0.09429932,0.92352295,0.203125,2.3125,-0.953125
1695748474472,-0.5107422,-0.105285645,0.9257202,-0.015625,4.046875,-1.4375
1695748474501,-0.51000977,-0.085510254,0.9279175,0.421875,3.25,-0.90625
1695748474546,-0.5065918,-0.09088135,0.91278076,-0.640625,4.078125,-1.40625
1695748474607,-0.5029297,-0.0947876,0.9411011,0.65625,4.203125,-1.65625
1695748474623,-0.5024414,-0.08892822,0.9069214,-0.109375,4.03125,-1.734375
1695748474668,-0.49804688,-0.078430176,0.91815186,0.109375,3.203125,-1.53125
1695748474712,-0.50439453,-0.078430176,0.90448,-0.6875,1.140625,-1.25
1695748474742,-0.49365234,-0.06842041,0.89959717,-0.34375,-0.71875,-0.84375
1695748474789,-0.49169922,-0.055236816,0.8847046,0.6875,-1.046875,-0.234375
1695748474832,-0.46557617,-0.06378174,0.8024292,5.0625,1.734375,-0.28125
1695748474861,-0.44433594,-0.07110596,0.87005615,9.921875,-10.671875,2.328125
1695748474906,-0.54345703,-0.11920166,0.95892334,1.28125,-8.46875,1.15625
1695748474952,-0.6386719,-0.1729126,0.9804077,0.6875,-1.4375,1.015625
1695748474981,-0.5661621,-0.097473145,0.9574585,-1.53125,-2.0625,-1.625
1695748475027,-0.5583496,-0.09625244,0.88275146,-2.65625,-2.6875,-2.546875
1695748475058,-0.51171875,-0.08746338,0.81243896,-0.25,1.640625,-1.0625
1695748475103,-0.5666504,-0.12799072,0.8900757,2.84375,3.8125,-0.015625
1695748475149,-0.54296875,-0.12408447,0.88275146,1.96875,2.578125,0.328125
1695748475225,-0.5390625,-0.101867676,0.88861084,2.21875,-2.453125,-1.0
1695748475229,-0.52612305,-0.13458252,0.9154663,-0.328125,4.5,0.609375
1695748475267,-0.58691406,-0.08843994,0.9425659,-1.0625,0.078125,-0.171875
1695748475297,-0.5722656,-0.09161377,0.9159546,-3.078125,2.234375,0.453125
1695748475357,-0.5397949,-0.09674072,0.8485718,-2.734375,2.765625,-0.90625
1695748475387,-0.5383301,-0.12554932,0.90374756,1.6875,8.15625,1.046875
1695748475417,-0.5270996,-0.13482666,0.918396,0.4375,11.71875,1.421875
1695748475463,-0.51831055,-0.116760254,0.9130249,-1.140625,9.71875,0.0625
1695748475507,-0.52490234,-0.11456299,0.91033936,-1.15625,6.75,-2.03125
1695748475537,-0.50927734,-0.09454346,0.90911865,-0.90625,6.265625,-2.921875
1695748475582,-0.49682617,-0.07476807,0.9088745,-0.1875,5.046875,-1.796875
1695748475658,-0.49047852,-0.07745361,0.8961792,-1.171875,2.375,-1.8125
1695748475662,-0.48461914,-0.085510254,0.89593506,0.171875,0.03125,-1.28125
1695748475703,-0.4868164,-0.07110596,0.8751831,1.703125,-0.015625,0.265625
1695748475732,-0.4814453,-0.08770752,0.84783936,4.921875,0.28125,1.5
1695748475777,-0.4645996,-0.116760254,0.871521,9.1875,-4.765625,0.546875
1695748475822,-0.58935547,-0.1194458,0.91156006,-2.015625,-18.984375,-2.703125
1695748475854,-0.4699707,-0.1572876,0.9503784,-3.65625,1.5,0.453125
1695748475913,-0.625,-0.082092285,0.95843506,0.3125,-2.25,0.1875
1695748475943,-0.5305176,-0.1260376,0.92523193,-2.375,-1.203125,-0.78125
1695748475972,-0.53808594,-0.09576416,0.85858154,-3.8125,-0.640625,-2.5
1695748476019,-0.5270996,-0.13946533,0.87054443,-1.484375,2.71875,-0.734375
1695748476061,-0.53808594,-0.11138916,0.8890991,-0.859375,1.171875,-1.46875
1695748476092,-0.55029297,-0.108947754,0.90057373,-0.921875,-0.765625,-1.609375
1695748476138,-0.52246094,-0.061340332,0.8798218,-1.0625,-0.28125,-1.0625
1695748476183,-0.5715332,-0.10821533,0.91815186,-0.421875,2.4375,0.984375
1695748476214,-0.5776367,-0.1026001,0.92767334,-0.34375,0.5,0.1875
1695748476274,-0.55200195,-0.10723877,0.88446045,0.09375,0.4375,0.109375
1695748476301,-0.5432129,-0.10723877,0.88323975,2.515625,5.5625,0.828125
1695748476346,-0.54296875,-0.112854004,0.9118042,2.953125,10.734375,1.8125
1695748476377,-0.51831055,-0.12335205,0.9227905,1.640625,10.65625,1.15625
1695748476424,-0.5209961,-0.11895752,0.89642334,-1.1875,6.78125,-0.5625
1695748476452,-0.5046387,-0.10455322,0.8954468,-1.40625,5.5,-1.765625
1695748476498,-0.52075195,-0.10235596,0.92645264,0.609375,6.203125,-1.53125
1695748476528,-0.50097656,-0.11529541,0.9176636,1.15625,7.28125,-1.578125
1695748476573,-0.48510742,-0.105041504,0.9164429,1.078125,6.375,-1.796875
1695748476632,-0.4921875,-0.10455322,0.9015503,-0.34375,2.046875,-1.921875
1695748476648,-0.47729492,-0.08453369,0.89520264,-0.0625,0.59375,-1.046875
1695748476692,-0.4621582,-0.07525635,0.83099365,1.328125,-0.859375,0.609375
1695748476738,-0.4519043,-0.089904785,0.8102417,4.71875,-1.09375,0.359375
1695748476768,-0.5554199,-0.12408447,0.94989014,3.453125,-16.3125,-0.578125
1695748476812,-0.5131836,-0.12945557,0.9545288,-1.953125,-4.6875,-0.578125
1695748476857,-0.57177734,-0.13848877,0.94696045,-1.40625,0.328125,0.765625
1695748476903,-0.5710449,-0.11431885,0.9689331,-0.640625,-3.5625,-1.5625
1695748476932,-0.53808594,-0.10284424,0.88494873,-1.0625,-2.625,-2.21875
1695748476978,-0.5109863,-0.10479736,0.8637085,-0.34375,0.359375,-1.296875
1695748477023,-0.55566406,-0.1350708,0.88153076,1.046875,2.3125,0.171875
1695748477053,-0.5419922,-0.11773682,0.89349365,0.625,1.140625,-0.625
1695748477128,-0.5383301,-0.12628174,0.885437,-0.71875,-0.421875,-1.0
1695748477134,-0.5263672,-0.06549072,0.8793335,-1.671875,-1.46875,-1.171875
1695748477172,-0.5812988,-0.117248535,0.9364624,-0.828125,1.1875,0.703125
1695748477203,-0.5673828,-0.10723877,0.9393921,-1.90625,0.171875,-0.96875
1695748477250,-0.5529785,-0.089416504,0.8727417,-2.4375,-0.03125,-1.25
1695748477294,-0.5463867,-0.10406494,0.8756714,2.375,7.015625,0.921875
1695748477322,-0.55029297,-0.13043213,0.9154663,3.390625,15.515625,2.921875
1695748477368,-0.5209961,-0.14093018,0.94573975,2.28125,16.578125,1.71875
1695748477413,-0.51293945,-0.12652588,0.89178467,-1.671875,9.765625,-1.359375
1695748477443,-0.49291992,-0.101135254,0.91571045,0.5625,7.15625,-2.4375
1695748477488,-0.48901367,-0.10064697,0.9088745,0.609375,7.09375,-1.84375
1695748477532,-0.48486328,-0.10211182,0.9164429,1.234375,5.796875,-1.375
1695748477562,-0.48608398,-0.10357666,0.91278076,-1.0,2.640625,-2.109375
1695748477608,-0.47827148,-0.09942627,0.9022827,-1.265625,-0.421875,-2.203125
1695748477653,-0.47387695,-0.082336426,0.8788452,-1.859375,-2.40625,-1.0625
1695748477682,-0.4790039,-0.07647705,0.8422241,-0.953125,-4.21875,0.734375
1695748477728,-0.5024414,-0.09967041,0.87493896,4.90625,-3.96875,-0.46875
1695748477774,-0.49194336,-0.17095947,0.89178467,17.875,-5.890625,-0.1875
1695748477818,-0.3815918,-0.07550049,0.8278198,-3.609375,1.390625,0.734375
1695748477848,-0.6291504,-0.17681885,0.9874878,0.921875,-4.90625,0.59375
1695748477908,-0.5576172,-0.1375122,0.9266968,-3.625,-3.84375,-0.28125
1695748477923,-0.54248047,-0.14068604,0.91522217,-4.53125,-3.296875,-3.078125
1695748477983,-0.51171875,-0.1116333,0.86639404,-2.5,0.265625,-0.8125
1695748477997,-0.54296875,-0.12310791,0.887146,-1.078125,3.453125,-0.171875
1695748478043,-0.5617676,-0.13873291,0.90911865,1.0625,2.765625,-0.140625
1695748478088,-0.5258789,-0.11798096,0.8764038,0.796875,0.53125,-0.75
1695748478117,-0.5307617,-0.117004395,0.83587646,-1.109375,-1.5,-1.796875
1695748478163,-0.5300293,-0.062561035,0.9113159,-1.140625,-1.75,-0.71875
1695748478208,-0.6044922,-0.12506104,0.9557495,-0.859375,0.65625,1.03125
1695748478237,-0.56640625,-0.12432861,0.94403076,-4.8125,-1.25,-2.328125
1695748478282,-0.5625,-0.08135986,0.87176514,-4.640625,-0.953125,-2.375
1695748478328,-0.5559082,-0.10772705,0.85858154,2.15625,4.9375,0.984375
1695748478357,-0.5493164,-0.11871338,0.9003296,4.921875,10.859375,2.703125
1695748478403,-0.54125977,-0.15045166,0.91986084,3.1875,13.0625,2.28125
