# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2063346
# Notes: thingy 1.25
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695752199057,-0.296875,-0.484375,0.77734375,0.21875,1.5625,-0.1875,0.0,0.0,0.0
1695752199083,-0.29101562,-0.49902344,0.7832031,0.40625,1.5625,-0.25,0.875,-20.375,5.625
1695752199114,-0.296875,-0.49121094,0.796875,0.28125,1.625,-0.125,0.0,0.0,0.0
1695752199172,-0.2861328,-0.4951172,0.7832031,0.40625,1.5625,-0.125,0.0,0.0,0.0
1695752199202,-0.2861328,-0.48632812,0.7910156,0.09375,1.5,-0.1875,0.0,0.0,0.0
1695752199231,-0.2890625,-0.48828125,0.78027344,0.21875,1.5625,-0.25,0.0,0.0,0.0
1695752199293,-0.28222656,-0.4892578,0.7832031,0.28125,1.625,-0.125,0.0,0.0,0.0
1695752199322,-0.29492188,-0.48242188,0.79003906,0.15625,1.5,0.0,0.0,0.0,0.0
1695752199356,-0.28515625,-0.484375,0.78222656,0.03125,1.625,-0.125,0.0,0.0,0.0
1695752199412,-0.2841797,-0.4951172,0.79003906,0.0,1.6875,-0.1875,0.0,0.0,0.0
1695752199444,-0.2841797,-0.48535156,0.7871094,0.0,1.625,-0.125,0.0,0.0,0.0
1695752199472,-0.29492188,-0.4921875,0.78027344,0.28125,1.5625,0.0,0.0,0.0,0.0
1695752199531,-0.30273438,-0.49316406,0.79003906,0.28125,1.625,0.0,0.0,0.0,0.0
1695752199563,-0.28515625,-0.49804688,0.7792969,0.28125,1.4375,-0.125,0.0,0.0,0.0
1695752199595,-0.28515625,-0.49316406,0.7783203,0.21875,1.75,-0.125,1.1875,-21.125,4.3125
1695752199655,-0.28125,-0.48535156,0.78027344,0.21875,1.625,-0.1875,0.0,0.0,0.0
1695752199682,-0.29101562,-0.48339844,0.7783203,0.21875,1.75,-0.25,0.0,0.0,0.0
1695752199711,-0.29003906,-0.4892578,0.7832031,0.21875,1.5625,-0.125,0.0,0.0,0.0
1695752199772,-0.29101562,-0.5,0.7890625,0.46875,1.4375,0.0,0.0,0.0,0.0
1695752199862,-0.2841797,-0.49121094,0.7783203,0.40625,1.375,0.03125,0.0,0.0,0.0
1695752199866,-0.29589844,-0.49414062,0.7714844,0.71875,1.3125,-0.125,0.0,0.0,0.0
1695752199892,-0.27929688,-0.484375,0.7705078,0.34375,1.8125,-0.25,0.0,0.0,0.0
1695752199921,-0.29492188,-0.4951172,0.79003906,0.65625,1.6875,-0.125,0.0,0.0,0.0
1695752199954,-0.29101562,-0.48535156,0.7832031,0.65625,1.5625,0.0,0.0,0.0,0.0
1695752200012,-0.2939453,-0.49316406,0.7871094,0.46875,1.625,-0.125,0.0,0.0,0.0
1695752200072,-0.29785156,-0.4892578,0.78027344,0.53125,1.5625,0.0,0.0,0.0,0.0
1695752200074,-0.2939453,-0.484375,0.7910156,0.65625,1.6875,-0.125,2.125,-19.9375,3.6875
1695752200132,-0.29003906,-0.4951172,0.78222656,0.28125,1.875,0.0,0.0,0.0,0.0
1695752200163,-0.296875,-0.48046875,0.7832031,0.53125,1.5625,0.0,0.0,0.0,0.0
1695752200192,-0.29589844,-0.4892578,0.78808594,0.65625,1.4375,-0.125,0.0,0.0,0.0
1695752200252,-0.2919922,-0.47851562,0.7783203,0.65625,1.4375,-0.1875,0.0,0.0,0.0
1695752200282,-0.28320312,-0.4921875,0.78808594,0.53125,1.5,0.0,0.0,0.0,0.0
1695752200314,-0.2841797,-0.48046875,0.7841797,0.71875,1.21875,0.03125,0.0,0.0,0.0
1695752200373,-0.2841797,-0.49609375,0.7705078,0.34375,1.5625,0.0,0.0,0.0,0.0
1695752200401,-0.28710938,-0.48632812,0.78515625,0.34375,1.5,-0.125,0.0,0.0,0.0
