# Sensor type: Respeck
# Activity type: Running
# Activity subtype: Normal
# Subject id: s2063346
# Notes: 1.10
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695748030910,0.030761719,-0.9829712,0.12420654,2.59375,0.15625,1.03125
1695748030956,-0.055908203,-1.0144653,0.15692139,-0.15625,3.0625,-2.34375
1695748030985,-0.06201172,-1.0176392,0.07366943,4.359375,7.578125,-6.9375
1695748031027,0.17358398,-0.9937134,0.008483887,2.671875,5.125,-0.5
1695748031072,0.030029297,-0.99298096,0.047790527,-1.65625,-0.421875,1.5625
1695748031102,-0.04321289,-0.98687744,0.027526855,0.953125,1.359375,0.859375
1695748031179,-0.001953125,-0.9212036,0.066589355,4.25,4.03125,-1.46875
1695748031206,-0.010253906,-0.95440674,0.041931152,1.28125,5.328125,-3.140625
1695748031221,-0.0053710938,-0.9282837,-0.0025024414,2.21875,6.4375,-1.71875
1695748031267,0.005126953,-0.9819946,-0.013000488,1.140625,4.1875,-1.546875
1695748031315,0.010253906,-1.0213013,0.035583496,-1.6875,3.515625,0.625
1695748031360,-0.06201172,-0.99176025,0.03289795,-2.640625,3.453125,-0.078125
1695748031409,-0.02319336,-1.0142212,0.026794434,-2.15625,2.765625,-0.171875
1695748031432,-0.020263672,-1.0130005,0.049743652,-1.546875,4.046875,-1.859375
1695748031464,-0.057128906,-1.0266724,0.053649902,-3.078125,3.765625,-0.71875
1695748031507,-0.05908203,-1.0281372,0.027770996,1.03125,3.0625,-0.890625
1695748031548,-0.027832031,-0.9902954,0.030944824,3.71875,5.34375,-0.171875
1695748031584,-0.057128906,-0.98565674,0.039001465,2.734375,5.65625,1.109375
1695748031642,-0.04248047,-0.95196533,0.0138549805,2.3125,5.0625,1.21875
1695748031656,0.017578125,-0.9495239,0.031433105,3.015625,0.421875,3.46875
1695748031701,0.038085938,-1.000061,0.043640137,-4.0625,-7.453125,4.265625
1695748031747,0.017822266,-1.0303345,0.105407715,-6.515625,-12.125,1.828125
1695748031776,-0.08081055,-0.9248657,0.04534912,-5.03125,-11.375,-2.078125
1695748031822,0.049072266,-0.9512329,0.03704834,7.8125,-1.5,-2.640625
1695748031867,0.24316406,-1.0518188,0.10223389,6.3125,0.171875,-0.5
1695748031897,0.020019531,-0.954895,0.09710693,-6.453125,-6.046875,-1.28125
1695748031941,-0.0769043,-1.0715942,0.101501465,-1.9375,-4.578125,0.03125
1695748031986,0.08300781,-1.1028442,0.0914917,5.25,0.984375,-0.484375
1695748032017,0.125,-0.89678955,0.07269287,3.328125,-1.90625,3.5625
1695748032061,-0.013183594,-0.9573364,0.12640381,0.53125,-2.28125,3.484375
1695748032107,0.030273438,-0.9404907,0.11468506,3.4375,1.90625,1.96875
1695748032137,0.061767578,-0.8880005,0.09710693,1.078125,4.078125,0.296875
1695748032196,0.04663086,-0.98150635,0.09857178,-2.640625,4.34375,-2.484375
1695748032211,-0.12133789,-1.039856,0.14178467,-6.671875,14.4375,-6.40625
1695748032257,0.1484375,-1.1189575,-0.09259033,6.28125,6.421875,-3.671875
1695748032317,0.1237793,-0.8735962,-0.028625488,5.046875,5.34375,2.734375
1695748032332,-0.1706543,-1.0327759,0.06756592,-4.234375,9.71875,-1.625
1695748032379,0.03930664,-0.97320557,-0.023498535,1.84375,11.96875,-4.203125
1695748032423,0.08496094,-0.9800415,-0.009338379,-1.796875,6.8125,-1.859375
1695748032468,-0.04736328,-1.0686646,0.018005371,1.046875,6.296875,-2.078125
1695748032496,-0.03173828,-1.0056763,0.008483887,2.75,7.96875,-3.359375
1695748032542,0.00390625,-1.0108032,0.015319824,2.359375,6.859375,-2.375
1695748032572,-0.040527344,-0.9710083,0.009460449,3.140625,5.578125,-1.046875
1695748032617,-0.01977539,-0.9336548,0.025817871,3.109375,2.0,0.671875
1695748032663,-0.032226562,-0.9434204,0.010925293,-0.796875,-0.734375,1.296875
1695748032693,-0.017333984,-0.94854736,0.01727295,-2.34375,-3.046875,1.53125
1695748032739,-0.024902344,-0.9902954,0.032409668,-4.171875,-2.40625,0.09375
1695748032782,0.057861328,-0.97320557,0.031677246,-8.3125,-7.859375,-2.140625
1695748032812,-0.036132812,-1.0217896,0.089538574,-3.0625,-3.5625,-4.4375
1695748032873,0.13769531,-1.0586548,0.013122559,2.40625,4.640625,-2.140625
1695748032903,0.076171875,-0.9168091,0.07513428,-1.859375,-0.453125,-1.390625
1695748032936,-0.0146484375,-0.9927368,0.09320068,-4.375,-5.421875,1.328125
1695748032979,0.040527344,-1.0691528,0.09906006,0.78125,1.328125,0.234375
1695748033022,0.17358398,-0.94244385,0.04949951,1.1875,-3.0625,4.984375
1695748033052,0.06665039,-0.9854126,0.10003662,3.921875,-5.640625,7.3125
1695748033099,0.020507812,-0.9678345,0.09832764,6.453125,-3.765625,7.0
1695748033129,0.06323242,-0.9229126,0.082214355,7.609375,-2.1875,6.0
1695748033172,0.039794922,-0.93585205,0.10467529,6.546875,-0.6875,4.09375
1695748033217,0.028564453,-0.9819946,0.10272217,3.265625,1.78125,0.984375
1695748033247,0.032714844,-1.0100708,0.14593506,-2.890625,5.046875,-3.9375
1695748033292,-0.15332031,-1.0725708,0.062683105,-3.40625,10.125,-10.0625
1695748033340,0.30664062,-1.0657349,-0.15142822,5.578125,6.546875,-1.21875
1695748033367,0.20166016,-0.911438,-0.0032348633,-4.625,-2.328125,4.609375
1695748033413,-0.2487793,-1.0684204,0.06903076,-1.109375,4.390625,-3.640625
1695748033460,0.08105469,-0.9072876,-0.10333252,8.65625,12.140625,-4.078125
