# Sensor type: Respeck
# Activity type: Standing
# Activity subtype: Talking
# Subject id: s2063346
# Notes: 3.5
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695750387685,-0.046142578,-0.9746704,0.051940918,1.328125,0.359375,-2.0625
1695750387729,-0.068359375,-0.9873657,0.049987793,2.046875,-0.09375,-1.78125
1695750387769,-0.072021484,-0.99224854,0.04925537,2.640625,0.015625,-1.765625
1695750387798,-0.06518555,-0.9795532,0.04144287,2.25,0.734375,-1.921875
1695750387842,-0.076171875,-0.9866333,0.03656006,0.875,0.96875,-1.515625
1695750387872,-0.08496094,-0.9859009,0.035583496,0.625,1.65625,-1.6875
1695750387918,-0.075927734,-0.98394775,0.03704834,0.890625,1.59375,-1.546875
1695750387962,-0.0859375,-0.989563,0.04144287,0.5,2.3125,-1.453125
1695750387991,-0.08154297,-0.987854,0.042175293,0.0625,3.046875,-1.53125
1695750388037,-0.07763672,-0.9915161,0.031677246,-0.8125,2.96875,-1.484375
1695750388066,-0.07373047,-0.9920044,0.026550293,-1.34375,3.0,-1.71875
1695750388111,-0.08227539,-0.987854,0.04144287,0.09375,2.875,-1.9375
1695750388158,-0.07714844,-0.9768677,0.04144287,0.640625,2.390625,-2.078125
1695750388186,-0.08666992,-0.98272705,0.022399902,0.171875,2.15625,-1.3125
1695750388232,-0.0859375,-0.98272705,0.04144287,-0.890625,2.484375,-1.515625
1695750388276,-0.10131836,-0.987854,0.04437256,1.59375,2.671875,-0.609375
1695750388308,-0.09838867,-0.9771118,0.028259277,1.421875,2.671875,-0.53125
1695750388351,-0.083496094,-0.9751587,0.022888184,0.875,2.515625,-0.046875
1695750388397,-0.09350586,-0.9907837,0.030212402,2.53125,1.921875,0.3125
1695750388426,-0.083984375,-0.98101807,0.031433105,2.703125,1.703125,0.125
1695750388473,-0.083984375,-0.9763794,0.015563965,1.640625,0.796875,0.515625
1695750388517,-0.103271484,-0.9924927,0.039733887,2.28125,-0.1875,0.703125
1695750388548,-0.0859375,-0.97662354,0.02508545,2.03125,-0.484375,0.859375
1695750388592,-0.061035156,-0.975647,0.0211792,1.140625,0.46875,-0.828125
1695750388637,-0.0871582,-1.0083618,0.010437012,0.984375,0.0625,-1.234375
1695750388666,-0.11767578,-0.9924927,-0.008117676,-0.28125,0.234375,-0.9375
1695750388712,-0.09692383,-0.9663696,0.007507324,-0.6875,1.71875,-1.09375
1695750388757,-0.09082031,-0.97003174,0.038269043,-1.046875,2.734375,-1.203125
1695750388786,-0.09057617,-0.99005127,0.0289917,-0.484375,2.71875,-2.03125
1695750388831,-0.06567383,-0.9981079,0.018981934,0.46875,3.140625,-3.046875
1695750388861,-0.07495117,-0.9776001,0.010681152,-1.28125,2.109375,-3.609375
1695750388906,-0.10058594,-1.0095825,0.038513184,1.484375,0.84375,-3.03125
1695750388952,-0.09375,-0.9776001,0.019958496,1.015625,0.015625,-2.296875
1695750388981,-0.114746094,-0.9812622,0.00970459,-2.484375,-0.328125,-0.875
1695750389027,-0.118652344,-0.9873657,0.018981934,-1.625,-1.203125,-0.015625
1695750389071,-0.115722656,-0.9873657,0.03289795,-1.734375,0.3125,0.0
