# Sensor type: Respeck
# Activity type: Normal walking
# Activity subtype: Normal
# Subject id: s2063346
# Notes: 1.7
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695747803012,-0.13916016,-1.0093384,0.20501709,5.5,-1.65625,1.671875
1695747803088,-0.11767578,-1.0186157,0.18792725,6.546875,-0.234375,1.25
1695747803097,-0.111083984,-0.97320557,0.18304443,6.984375,2.03125,0.78125
1695747803134,-0.06689453,-0.9421997,0.19329834,3.546875,1.21875,1.9375
1695747803194,-0.06933594,-0.9627075,0.23504639,0.96875,0.078125,0.984375
1695747803222,-0.095214844,-0.9480591,0.22381592,1.96875,0.875,-1.078125
1695747803251,-0.099365234,-0.93292236,0.21087646,2.34375,2.59375,-2.734375
1695747803342,-0.10913086,-0.927063,0.22528076,2.1875,3.515625,-4.375
1695747803346,-0.122802734,-0.95391846,0.2255249,1.96875,5.125,-5.015625
1695747803374,-0.10571289,-0.96710205,0.21185303,1.90625,6.71875,-6.328125
1695747803432,-0.10253906,-0.97125244,0.23480225,2.046875,7.109375,-5.640625
1695747803461,-0.14868164,-0.9795532,0.25531006,1.484375,5.6875,-6.0625
1695747803523,-0.14550781,-1.0591431,0.18475342,-2.25,3.0,-6.6875
1695747803552,-0.024414062,-1.1045532,0.11395264,4.703125,0.40625,-3.65625
1695747803583,-0.061035156,-1.0630493,0.09857178,7.875,0.84375,-0.140625
1695747803611,-0.16870117,-1.0056763,0.1305542,7.453125,7.453125,-3.640625
1695747803672,-0.061279297,-0.9841919,0.09442139,4.03125,9.796875,-5.4375
1695747803701,-0.014160156,-0.94732666,0.07171631,-1.953125,7.0625,-4.59375
1695747803763,-0.036621094,-0.93878174,0.026306152,-2.21875,3.546875,-2.046875
1695747803792,-0.09814453,-0.94122314,0.029724121,0.546875,5.5625,-2.109375
1695747803822,-0.109375,-0.92633057,0.03338623,0.921875,10.703125,-2.5
1695747803851,-0.072265625,-1.0090942,0.001159668,-2.46875,10.25,-2.734375
1695747803882,-0.092285156,-1.0950317,0.047302246,-5.625,6.765625,-3.6875
1695747803942,-0.10864258,-1.0657349,0.11151123,-1.03125,3.484375,-3.640625
1695747803972,-0.107177734,-0.95513916,0.08685303,1.828125,2.28125,-0.90625
1695747804092,-0.12524414,-0.9182739,0.07293701,2.640625,4.34375,-0.9375
1695747804096,-0.15820312,-0.9138794,0.08392334,8.15625,4.546875,-0.25
1695747804100,-0.13867188,-0.9180298,0.062927246,6.296875,4.453125,-0.21875
1695747804122,-0.14257812,-0.9282837,0.06121826,2.984375,2.453125,1.15625
1695747804182,-0.14331055,-0.9819946,0.06829834,1.734375,-0.078125,2.40625
1695747804211,-0.13916016,-0.9973755,0.10272217,1.65625,-3.046875,3.5
1695747804242,-0.13427734,-0.9939575,0.12884521,0.15625,-4.4375,4.234375
1695747804302,-0.19604492,-0.9805298,0.15203857,0.640625,-5.21875,3.71875
1695747804332,-0.21191406,-0.9507446,0.13397217,0.5625,-3.21875,2.375
1695747804361,-0.22338867,-0.95098877,0.12249756,-0.59375,-2.09375,1.203125
1695747804422,-0.21044922,-0.9729614,0.11444092,-0.296875,-1.703125,2.125
1695747804452,-0.16308594,-0.9898071,0.12835693,-2.109375,-0.53125,4.296875
1695747804543,-0.14111328,-1.0418091,0.10614014,-12.0625,-8.15625,6.34375
1695747804546,-0.15893555,-1.1265259,0.14031982,-9.421875,-8.515625,6.484375
1695747804572,-0.05517578,-1.2835083,0.13690186,-12.40625,0.3125,9.265625
1695747804632,0.005859375,-1.2053833,0.11810303,-6.640625,1.796875,4.125
1695747804662,0.12182617,-0.93878174,0.036071777,5.8125,-0.890625,1.09375
1695747804691,0.045410156,-0.6975708,-0.044006348,13.9375,1.921875,1.671875
1695747804723,0.05444336,-0.6758423,0.01751709,9.703125,5.140625,3.671875
1695747804783,0.17285156,-0.9265747,0.12908936,-8.421875,-2.515625,2.609375
1695747804827,0.051513672,-1.1060181,0.14569092,-11.40625,-8.34375,-2.03125
1695747804842,-0.06762695,-1.1914673,0.10418701,0.0,3.0625,-2.5
1695747804902,-0.018554688,-1.0278931,0.081970215,9.6875,7.1875,-5.53125
1695747804931,0.051757812,-0.90411377,0.07977295,6.4375,7.328125,-3.8125
1695747804963,0.010498047,-0.895813,0.117126465,0.828125,4.9375,-1.1875
1695747805022,-0.018066406,-0.9241333,0.16229248,-0.578125,3.8125,-0.53125
1695747805052,-0.031982422,-0.9175415,0.18353271,-0.28125,5.078125,-2.265625
1695747805085,-0.061035156,-0.95806885,0.15545654,2.125,3.296875,-3.078125
1695747805172,-0.075683594,-0.9558716,0.17254639,5.296875,5.546875,-3.578125
1695747805177,-0.111572266,-0.9307251,0.18035889,5.4375,8.078125,-3.96875
1695747805202,-0.109375,-0.9380493,0.1954956,3.234375,7.84375,-4.640625
1695747805324,-0.096191406,-0.97735596,0.2062378,1.234375,7.546875,-5.515625
1695747805329,-0.008300781,-0.9834595,0.19451904,0.171875,6.84375,-4.109375
1695747805332,-0.08862305,-0.9812622,0.29193115,-9.375,1.890625,-2.34375
1695747805352,-0.33935547,-1.1677856,0.20184326,-9.953125,3.515625,-10.96875
1695747805412,-0.014160156,-1.1734009,0.013122559,-2.171875,6.0625,-5.34375
1695747805443,0.103271484,-1.270813,-0.04107666,-5.5625,1.015625,2.921875
1695747805472,-0.08886719,-1.1502075,0.074401855,12.078125,3.0,-1.875
